dataset,video,frame,score,g_t
BMC,111,142,0.19999678,1
BMC,111,143,0.19999714,1
BMC,111,144,0.1999906,1
BMC,111,145,0.19998375,1
BMC,111,146,0.19999063,1
BMC,111,147,0.19999695,1
BMC,111,148,0.19999646,1
BMC,111,149,0.19999611,1
BMC,111,150,0.19999668,1
BMC,111,151,0.19999741,1
BMC,111,152,0.19999717,1
BMC,111,153,0.19999695,1
BMC,111,154,0.19999678,1
BMC,111,155,0.19999714,1
BMC,111,156,0.1999906,1
BMC,111,157,0.19998375,1
BMC,111,158,0.19999063,1
BMC,111,159,0.19999695,1
BMC,111,160,0.19999646,1
BMC,111,161,0.19999611,1
BMC,111,162,0.19999668,1
BMC,111,163,0.19999741,1
BMC,111,164,0.19999717,1
BMC,111,165,0.19999695,1
BMC,111,166,0.19999678,1
BMC,111,167,0.19999714,1
BMC,111,168,0.1999906,1
BMC,111,169,0.19998375,1
BMC,111,170,0.19999063,1
BMC,111,171,0.19999695,1
BMC,111,172,0.19999646,1
BMC,111,173,0.19999611,1
BMC,111,174,0.19999668,1
BMC,111,175,0.19999741,1
BMC,111,176,0.19999717,1
BMC,111,177,0.19999695,1
BMC,111,178,0.19999678,1
BMC,111,179,0.19999714,1
BMC,111,180,0.1999906,1
BMC,111,181,0.19998375,1
BMC,111,182,0.19999063,1
BMC,111,183,0.19999695,1
BMC,111,184,0.19999646,1
BMC,111,185,0.19999611,1
BMC,111,186,0.19999668,1
BMC,111,187,0.19999741,1
BMC,111,188,0.19999717,1
BMC,111,189,0.19999695,1
BMC,111,190,0.19999678,1
BMC,111,191,0.19999714,1
BMC,111,192,0.1999906,1
BMC,111,193,0.19998375,1
BMC,111,194,0.19999063,1
BMC,111,195,0.19999695,1
BMC,111,196,0.19999646,1
BMC,111,197,0.19999611,1
BMC,111,198,0.19999668,1
BMC,111,199,0.19999741,1
BMC,111,200,0.19999717,1
BMC,111,201,0.19999695,1
BMC,111,202,0.19999678,1
BMC,111,203,0.19999714,1
BMC,111,204,0.1999906,1
BMC,111,205,0.19998375,1
BMC,111,206,0.19999063,1
BMC,111,207,0.19999695,1
BMC,111,208,0.19999646,1
BMC,111,209,0.19999611,1
BMC,111,210,0.19999668,1
BMC,111,211,0.19999741,1
BMC,111,212,0.19999717,1
BMC,111,213,0.19999695,1
BMC,111,214,0.19999678,1
BMC,111,215,0.19999714,1
BMC,111,216,0.1999906,1
BMC,111,217,0.19998375,1
BMC,111,218,0.19999063,1
BMC,111,219,0.19999695,1
BMC,111,220,0.19999646,1
BMC,111,221,0.19999611,1
BMC,111,222,0.19999668,1
BMC,111,223,0.19999741,1
BMC,111,224,0.19999717,1
BMC,111,225,0.19999695,1
BMC,111,226,0.19999678,1
BMC,111,227,0.19999714,1
BMC,111,228,0.1999906,1
BMC,111,229,0.19998375,1
BMC,111,230,0.19999063,1
BMC,111,231,0.19999695,1
BMC,111,232,0.19999646,1
BMC,111,233,0.19999611,1
BMC,111,234,0.19999668,1
BMC,111,235,0.19999741,1
BMC,111,236,0.19999717,1
BMC,111,237,0.19999695,1
BMC,111,238,0.19999678,1
BMC,111,239,0.19999714,1
BMC,111,240,0.1999906,1
BMC,111,241,0.19998375,1
BMC,111,242,0.19999063,1
BMC,111,243,0.19999695,1
BMC,111,244,0.19999646,1
BMC,111,245,0.19999611,1
BMC,111,246,0.19999668,1
BMC,111,247,0.19999741,1
BMC,111,248,0.19999717,1
BMC,111,249,0.19999695,1
BMC,111,250,0.19999678,1
BMC,111,251,0.19999714,1
BMC,111,252,0.1999906,1
BMC,111,253,0.19998375,1
BMC,111,254,0.19999063,1
BMC,111,255,0.19999695,1
BMC,111,256,0.19999646,1
BMC,111,257,0.19999611,1
BMC,111,258,0.19999668,1
BMC,111,259,0.19999741,1
BMC,111,260,0.19999717,1
BMC,111,261,0.19999695,1
BMC,111,262,0.19999678,1
BMC,111,263,0.19999714,1
BMC,111,264,0.1999906,1
BMC,111,265,0.19998375,1
BMC,111,266,0.19999063,1
BMC,111,267,0.19999695,1
BMC,111,268,0.19999675,1
BMC,111,269,0.19999492,1
BMC,111,270,0.21577325,1
BMC,111,271,0.22150175,1
BMC,111,272,0.26596093,1
BMC,111,273,0.24919862,1
BMC,111,274,0.27478245,1
BMC,111,275,0.31176853,1
BMC,111,276,0.33854505,1
BMC,111,277,0.37252522,1
BMC,111,278,0.3984595,1
BMC,111,279,0.425983,1
BMC,111,280,0.45085496,1
BMC,111,281,0.46340868,1
BMC,111,282,0.45909318,1
BMC,111,283,0.45209455,1
BMC,111,284,0.443944,1
BMC,111,285,0.4274106,1
BMC,111,286,0.42741176,1
BMC,111,287,0.41213602,1
BMC,111,288,0.4246204,1
BMC,111,289,0.432853,1
BMC,111,290,0.42048898,1
BMC,111,291,0.4121756,1
BMC,111,292,0.4136646,1
BMC,111,293,0.3971458,1
BMC,111,294,0.3985673,1
BMC,111,295,0.39718276,1
BMC,111,296,0.39172834,1
BMC,111,297,0.38489407,1
BMC,111,298,0.37804186,1
BMC,111,299,0.3862846,1
BMC,111,300,0.36706707,1
BMC,111,301,0.3616932,1
BMC,111,302,0.37393048,1
BMC,111,303,0.35766098,1
BMC,111,304,0.35901478,1
BMC,111,305,0.35492757,1
BMC,111,306,0.36166924,1
BMC,111,307,0.3440897,1
BMC,111,308,0.33738524,1
BMC,111,309,0.33736375,1
BMC,111,310,0.344137,1
BMC,111,311,0.33862373,1
BMC,111,312,0.33732393,1
BMC,111,313,0.32796967,1
BMC,111,314,0.32926956,1
BMC,111,315,0.33598077,1
BMC,111,316,0.326642,1
BMC,111,317,0.330628,1
BMC,111,318,0.31989014,1
BMC,111,319,0.31053,1
BMC,111,320,0.31457844,1
BMC,111,321,0.31994155,1
BMC,111,322,0.3092536,1
BMC,111,323,0.30657366,1
BMC,111,324,0.3105472,1
BMC,111,325,0.2919777,1
BMC,111,326,0.29589924,1
BMC,111,327,0.29190776,1
BMC,111,328,0.2894697,1
BMC,111,329,0.27760744,1
BMC,111,330,0.27109292,1
BMC,111,331,0.26464573,1
BMC,111,332,0.24918337,1
BMC,111,333,0.27889538,1
BMC,111,334,0.26885477,1
BMC,111,335,0.24015497,1
BMC,111,336,0.2301132,1
BMC,111,337,0.2200685,1
BMC,111,338,0.21433078,1
BMC,111,339,0.21434113,1
BMC,111,340,0.22151572,1
BMC,111,341,0.23154873,1
BMC,111,342,0.23155798,1
BMC,111,343,0.24015091,1
BMC,111,344,0.26310733,1
BMC,111,345,0.27314383,1
BMC,111,346,0.24332203,1
BMC,111,347,0.25588435,1
BMC,111,348,0.2583068,1
BMC,111,349,0.27386016,1
BMC,111,350,0.27775514,1
BMC,111,351,0.27238703,1
BMC,111,352,0.28824297,1
BMC,111,353,0.27374277,1
BMC,111,354,0.28151152,1
BMC,111,355,0.28815448,1
BMC,111,356,0.29873145,1
BMC,111,357,0.2893984,1
BMC,111,358,0.29191846,1
BMC,111,359,0.2826657,1
BMC,111,360,0.27743888,1
BMC,111,361,0.28794724,1
BMC,111,362,0.2877666,1
BMC,111,363,0.2761191,1
BMC,111,364,0.2734241,1
BMC,111,365,0.27076095,1
BMC,111,366,0.27864838,1
BMC,111,367,0.27084434,1
BMC,111,368,0.264391,1
BMC,111,369,0.27210924,1
BMC,111,370,0.27602205,1
BMC,111,371,0.27086112,1
BMC,111,372,0.28517383,1
BMC,111,373,0.27858412,1
BMC,111,374,0.27738905,1
BMC,111,375,0.28513297,1
BMC,111,376,0.28780696,1
BMC,111,377,0.28123927,1
BMC,111,378,0.28509957,1
BMC,111,379,0.29172504,1
BMC,111,380,0.28781387,1
BMC,111,381,0.2917105,1
BMC,111,382,0.29439148,1
BMC,111,383,0.2983314,1
BMC,111,384,0.30628064,1
BMC,111,385,0.30226886,1
BMC,111,386,0.31299782,1
BMC,111,387,0.30629954,1
BMC,111,388,0.3062922,1
BMC,111,389,0.31961623,1
BMC,111,390,0.32897723,1
BMC,111,391,0.3236361,1
BMC,111,392,0.3276012,1
BMC,111,393,0.35702503,1
BMC,111,394,0.3827407,1
BMC,111,395,0.4171308,1
BMC,111,396,0.44573367,1
BMC,111,397,0.4894009,1
BMC,111,398,0.52806234,1
BMC,111,399,0.578153,1
BMC,111,400,0.62014484,1
BMC,111,401,0.6608768,1
BMC,111,402,0.6684758,1
BMC,111,403,0.6739237,1
BMC,111,404,0.6750657,1
BMC,111,405,0.67622244,1
BMC,111,406,0.67825675,1
BMC,111,407,0.6762717,1
BMC,111,408,0.6765032,1
BMC,111,409,0.67613864,1
BMC,111,410,0.6741411,1
BMC,111,411,0.67699486,1
BMC,111,412,0.6780646,1
BMC,111,413,0.67894083,1
BMC,111,414,0.676963,1
BMC,111,415,0.6793701,1
BMC,111,416,0.6795709,1
BMC,111,417,0.67957824,1
BMC,111,418,0.6792025,1
BMC,111,419,0.67937267,1
BMC,111,420,0.68309957,1
BMC,111,421,0.6809312,1
BMC,111,422,0.6829468,1
BMC,111,423,0.6825114,1
BMC,111,424,0.68563557,1
BMC,111,425,0.6882797,1
BMC,111,426,0.6889296,1
BMC,111,427,0.68789876,1
BMC,111,428,0.690934,1
BMC,111,429,0.6941747,1
BMC,111,430,0.6959774,1
BMC,111,431,0.6957646,1
BMC,111,432,0.69761026,1
BMC,111,433,0.7008149,1
BMC,111,434,0.7041185,1
BMC,111,435,0.70543873,1
BMC,111,436,0.7073488,1
BMC,111,437,0.7107425,1
BMC,111,438,0.713129,1
BMC,111,439,0.7185218,1
BMC,111,440,0.7189324,1
BMC,111,441,0.72291905,1
BMC,111,442,0.7263209,1
BMC,111,443,0.73218745,1
BMC,111,444,0.7371675,1
BMC,111,445,0.7406032,1
BMC,111,446,0.74604803,1
BMC,111,447,0.7507429,1
BMC,111,448,0.75859576,1
BMC,111,449,0.76668423,1
BMC,111,450,0.7696855,1
BMC,111,451,0.7774382,1
BMC,111,452,0.7823222,1
BMC,111,453,0.7819448,1
BMC,111,454,0.78237355,1
BMC,111,455,0.78226125,1
BMC,111,456,0.78242177,1
BMC,111,457,0.7837069,1
BMC,111,458,0.7662001,1
BMC,111,459,0.76548004,1
BMC,111,460,0.76479715,1
BMC,111,461,0.7639991,1
BMC,111,462,0.76331323,1
BMC,111,463,0.7625715,1
BMC,111,464,0.7618431,1
BMC,111,465,0.7611342,1
BMC,111,466,0.76042867,1
BMC,111,467,0.75947046,1
BMC,111,468,0.75873286,1
BMC,111,469,0.77879196,1
BMC,111,470,0.77769977,1
BMC,111,471,0.77629703,1
BMC,111,472,0.7761148,1
BMC,111,473,0.7747441,1
BMC,111,474,0.77439713,1
BMC,111,475,0.77447724,1
BMC,111,476,0.7742325,1
BMC,111,477,0.77441823,1
BMC,111,478,0.774575,1
BMC,111,479,0.77467346,1
BMC,111,480,0.77502775,1
BMC,111,481,0.7756207,1
BMC,111,482,0.7763268,1
BMC,111,483,0.7775495,1
BMC,111,484,0.77876997,1
BMC,111,485,0.7798161,1
BMC,111,486,0.7816453,1
BMC,111,487,0.74227774,1
BMC,111,488,0.6880074,1
BMC,111,489,0.47002086,1
BMC,111,490,0.29040077,1
BMC,111,491,0.2851382,1
BMC,111,492,0.2955938,1
BMC,111,493,0.28255102,1
BMC,111,494,0.2983127,1
BMC,111,495,0.34480348,1
BMC,111,496,0.3549328,1
BMC,111,497,0.4038304,1
BMC,111,498,0.42299914,1
BMC,111,499,0.4656704,1
BMC,111,500,0.4976611,1
BMC,111,501,0.5338785,1
BMC,111,502,0.5534878,1
BMC,111,503,0.5900642,1
BMC,111,504,0.6195269,1
BMC,111,505,0.6531937,1
BMC,111,506,0.6665634,1
BMC,111,507,0.66637456,1
BMC,111,508,0.6544853,1
BMC,111,509,0.6602233,1
BMC,111,510,0.6460431,1
BMC,111,511,0.6347972,1
BMC,111,512,0.6289956,1
BMC,111,513,0.64863515,1
BMC,111,514,0.6458415,1
BMC,111,515,0.6345766,1
BMC,111,516,0.64988405,1
BMC,111,517,0.64003307,1
BMC,111,518,0.6314678,1
BMC,111,519,0.65253097,1
BMC,111,520,0.6511321,1
BMC,111,521,0.6426888,1
BMC,111,522,0.65246373,1
BMC,111,523,0.6440384,1
BMC,111,524,0.6510673,1
BMC,111,525,0.645448,1
BMC,111,526,0.6412614,1
BMC,111,527,0.6454602,1
BMC,111,528,0.64547294,1
BMC,111,529,0.64688677,1
BMC,111,530,0.63993627,1
BMC,111,531,0.6609531,1
BMC,111,532,0.65671945,1
BMC,111,533,0.6357864,1
BMC,111,534,0.6651632,1
BMC,111,535,0.6652286,1
BMC,111,536,0.6624777,1
BMC,111,537,0.66746885,1
BMC,111,538,0.6675072,1
BMC,111,539,0.66815156,1
BMC,111,540,0.6701725,1
BMC,111,541,0.6708286,1
BMC,111,542,0.66929185,1
BMC,111,543,0.672521,1
BMC,111,544,0.6716893,1
BMC,111,545,0.67279625,1
BMC,111,546,0.6738459,1
BMC,111,547,0.67766863,1
BMC,111,548,0.6761674,1
BMC,111,549,0.68032235,1
BMC,111,550,0.6814434,1
BMC,111,551,0.6828745,1
BMC,111,552,0.68215966,1
BMC,111,553,0.68496335,1
BMC,111,554,0.6870704,1
BMC,111,555,0.6864353,1
BMC,111,556,0.688633,1
BMC,111,557,0.68973976,1
BMC,111,558,0.67834437,1
BMC,111,559,0.6790091,1
BMC,111,560,0.6780792,1
BMC,111,561,0.67984533,1
BMC,111,562,0.6834758,1
BMC,111,563,0.6861241,1
BMC,111,564,0.6898431,1
BMC,111,565,0.6968143,1
BMC,111,566,0.6970063,1
BMC,111,567,0.7068726,1
BMC,111,568,0.71076155,1
BMC,111,569,0.7160773,1
BMC,111,570,0.7426556,1
BMC,111,571,0.7481507,1
BMC,111,572,0.753954,1
BMC,111,573,0.76270545,1
BMC,111,574,0.7697772,1
BMC,111,575,0.7812236,1
BMC,111,576,0.7827033,1
BMC,111,577,0.7819319,1
BMC,111,578,0.7818658,1
BMC,111,579,0.78150415,1
BMC,111,580,0.7810341,1
BMC,111,581,0.78116804,1
BMC,111,582,0.7805917,1
BMC,111,583,0.78064305,1
BMC,111,584,0.77975255,1
BMC,111,585,0.77976745,1
BMC,111,586,0.77919173,1
BMC,111,587,0.7792556,1
BMC,111,588,0.77888197,1
BMC,111,589,0.778609,1
BMC,111,590,0.7785216,1
BMC,111,591,0.77775717,1
BMC,111,592,0.77765065,1
BMC,111,593,0.7771112,1
BMC,111,594,0.77699816,1
BMC,111,595,0.7760899,1
BMC,111,596,0.7756798,1
BMC,111,597,0.7749756,1
BMC,111,598,0.77479297,1
BMC,111,599,0.7742707,1
BMC,111,600,0.77437675,1
BMC,111,601,0.7751937,1
BMC,111,602,0.7751448,1
BMC,111,603,0.77543926,1
BMC,111,604,0.77572745,1
BMC,111,605,0.7770008,1
BMC,111,606,0.77738297,1
BMC,111,607,0.7784106,1
BMC,111,608,0.7800704,1
BMC,111,609,0.7817989,1
BMC,111,610,0.73401296,1
BMC,111,611,0.6709903,1
BMC,111,612,0.30546713,1
BMC,111,613,0.30623817,1
BMC,111,614,0.3088768,1
BMC,111,615,0.31693378,1
BMC,111,616,0.3249513,1
BMC,111,617,0.3316779,1
BMC,111,618,0.33973283,1
BMC,111,619,0.33570886,1
BMC,111,620,0.3370937,1
BMC,111,621,0.35733443,1
BMC,111,622,0.3559561,1
BMC,111,623,0.3695094,1
BMC,111,624,0.36004823,1
BMC,111,625,0.36814904,1
BMC,111,626,0.36958498,1
BMC,111,627,0.3804463,1
BMC,111,628,0.38860774,1
BMC,111,629,0.3994949,1
BMC,111,630,0.38727677,1
BMC,111,631,0.39270443,1
BMC,111,632,0.41324374,1
BMC,111,633,0.4186841,1
BMC,111,634,0.41735476,1
BMC,111,635,0.43110767,1
BMC,111,636,0.44074315,1
BMC,111,637,0.43381727,1
BMC,111,638,0.45730922,1
BMC,111,639,0.46142578,1
BMC,111,640,0.48221382,1
BMC,111,641,0.47940278,1
BMC,111,642,0.48219407,1
BMC,111,643,0.4932512,1
BMC,111,644,0.49326965,1
BMC,111,645,0.51961005,1
BMC,111,646,0.5224045,1
BMC,111,647,0.546052,1
BMC,111,648,0.5460764,1
BMC,111,649,0.55023915,1
BMC,111,650,0.58648044,1
BMC,111,651,0.5990458,1
BMC,111,652,0.6144479,1
BMC,111,653,0.62984973,1
BMC,111,654,0.63962984,1
BMC,111,655,0.6573295,1
BMC,111,656,0.65998864,1
BMC,111,657,0.66158915,1
BMC,111,658,0.6651563,1
BMC,111,659,0.667483,1
BMC,111,660,0.66931355,1
BMC,111,661,0.70873654,1
BMC,111,662,0.75583476,1
BMC,111,663,0.7745386,1
BMC,111,664,0.77222914,1
BMC,111,665,0.770367,1
BMC,111,666,0.7692096,1
BMC,111,667,0.7678877,1
BMC,111,668,0.76680624,1
BMC,111,669,0.7661618,1
BMC,111,670,0.7656918,1
BMC,111,671,0.76550144,1
BMC,111,672,0.765726,1
BMC,111,673,0.7660757,1
BMC,111,674,0.76611406,1
BMC,111,675,0.7661628,1
BMC,111,676,0.766369,1
BMC,111,677,0.7665277,1
BMC,111,678,0.76650155,1
BMC,111,679,0.7667238,1
BMC,111,680,0.76673996,1
BMC,111,681,0.7667958,1
BMC,111,682,0.7668697,1
BMC,111,683,0.7667715,1
BMC,111,684,0.7666925,1
BMC,111,685,0.7667991,1
BMC,111,686,0.7667033,1
BMC,111,687,0.7666774,1
BMC,111,688,0.76679146,1
BMC,111,689,0.7664851,1
BMC,111,690,0.7665135,1
BMC,111,691,0.7662709,1
BMC,111,692,0.7662767,1
BMC,111,693,0.76587576,1
BMC,111,694,0.7658057,1
BMC,111,695,0.7655869,1
BMC,111,696,0.7654449,1
BMC,111,697,0.76518387,1
BMC,111,698,0.7651073,1
BMC,111,699,0.7652128,1
BMC,111,700,0.7656287,1
BMC,111,701,0.7659438,1
BMC,111,702,0.7662804,1
BMC,111,703,0.76705223,1
BMC,111,704,0.7675869,1
BMC,111,705,0.7683745,1
BMC,111,706,0.7691532,1
BMC,111,707,0.77018464,1
BMC,111,708,0.77116746,1
BMC,111,709,0.7724838,1
BMC,111,710,0.77393264,1
BMC,111,711,0.7755639,1
BMC,111,712,0.77773815,1
BMC,111,713,0.7211444,1
BMC,111,714,0.6734385,1
BMC,111,715,0.48910838,1
BMC,111,716,0.4766619,1
BMC,111,717,0.47389913,1
BMC,111,718,0.46419168,1
BMC,111,719,0.4531581,1
BMC,111,720,0.4421158,1
BMC,111,721,0.4435119,1
BMC,111,722,0.43250602,1
BMC,111,723,0.4269851,1
BMC,111,724,0.41464582,1
BMC,111,725,0.41186523,1
BMC,111,726,0.40506902,1
BMC,111,727,0.39279425,1
BMC,111,728,0.38726524,1
BMC,111,729,0.38460115,1
BMC,111,730,0.38452157,1
BMC,111,731,0.3695296,1
BMC,111,732,0.37636122,1
BMC,111,733,0.36682183,1
BMC,111,734,0.36004677,1
BMC,111,735,0.34247866,1
BMC,111,736,0.3410712,1
BMC,111,737,0.33971474,1
BMC,111,738,0.33302698,1
BMC,111,739,0.33170146,1
BMC,111,740,0.3277008,1
BMC,111,741,0.32638603,1
BMC,111,742,0.32495725,1
BMC,111,743,0.31837508,1
BMC,111,744,0.32705772,1
BMC,111,745,0.33478042,1
BMC,111,746,0.36393273,1
BMC,111,747,0.3919939,1
BMC,111,748,0.42028108,1
BMC,111,749,0.44233695,1
BMC,111,750,0.48237744,1
BMC,111,751,0.48944566,1
BMC,111,752,0.5354044,1
BMC,111,753,0.56201893,1
BMC,111,754,0.5848028,1
BMC,111,755,0.59595656,1
BMC,111,756,0.6215886,1
BMC,111,757,0.6132189,1
BMC,111,758,0.60885257,1
BMC,111,759,0.5908009,1
BMC,111,760,0.59621817,1
BMC,111,761,0.5892453,1
BMC,111,762,0.5544294,1
BMC,111,763,0.5350739,1
BMC,111,764,0.5599107,1
BMC,111,765,0.5378113,1
BMC,111,766,0.5590312,1
BMC,111,767,0.52273154,1
BMC,111,768,0.5144206,1
BMC,111,769,0.5100022,1
BMC,111,770,0.5046538,1
BMC,111,771,0.5157181,1
BMC,111,772,0.49372032,1
BMC,111,773,0.47789785,1
BMC,111,774,0.49584332,1
BMC,111,775,0.4921549,1
BMC,111,776,0.4686186,1
BMC,111,777,0.48635635,1
BMC,111,778,0.47256586,1
BMC,111,779,0.4559793,1
BMC,111,780,0.44740525,1
BMC,111,781,0.46559218,1
BMC,111,782,0.45701706,1
BMC,111,783,0.45692784,1
BMC,111,784,0.44036585,1
BMC,111,785,0.4666496,1
BMC,111,786,0.4428839,1
BMC,111,787,0.44284987,1
BMC,111,788,0.44707888,1
BMC,111,789,0.4416727,1
BMC,111,790,0.44039539,1
BMC,111,791,0.44730026,1
BMC,111,792,0.44156,1
BMC,111,793,0.45131415,1
BMC,111,794,0.45399523,1
BMC,111,795,0.45268098,1
BMC,111,796,0.43866536,1
BMC,111,797,0.42349195,1
BMC,111,798,0.43163764,1
BMC,111,799,0.42230022,1
BMC,111,800,0.42763123,1
BMC,111,801,0.41678375,1
BMC,111,802,0.40595588,1
BMC,111,803,0.39493093,1
BMC,111,804,0.35393918,1
BMC,111,805,0.36628425,1
BMC,111,806,0.3606477,1
BMC,111,807,0.3282262,1
BMC,111,808,0.34773073,1
BMC,111,809,0.2946755,1
BMC,111,810,0.23872858,1
BMC,111,811,0.25307348,1
BMC,111,812,0.26167488,1
BMC,111,813,0.2502054,1
BMC,111,814,0.24590077,1
BMC,111,815,0.27601942,1
BMC,111,816,0.28606927,1
BMC,111,817,0.24055548,1
BMC,111,818,0.2836716,1
BMC,111,819,0.31250992,1
BMC,111,820,0.34490457,1
BMC,111,821,0.35038686,1
BMC,111,822,0.35446882,1
BMC,111,823,0.3906354,1
BMC,111,824,0.4296872,1
BMC,111,825,0.43787542,1
BMC,111,826,0.43826172,1
BMC,111,827,0.46185097,1
BMC,111,828,0.45189083,1
BMC,111,829,0.4781268,1
BMC,111,830,0.46003032,1
BMC,111,831,0.47396904,1
BMC,111,832,0.4666159,1
BMC,111,833,0.47342637,1
BMC,111,834,0.47480837,1
BMC,111,835,0.46516895,1
BMC,111,836,0.46336734,1
BMC,111,837,0.45373246,1
BMC,111,838,0.45367622,1
BMC,111,839,0.46054673,1
BMC,111,840,0.4675197,1
BMC,111,841,0.45202494,1
BMC,111,842,0.47003233,1
BMC,111,843,0.48265904,1
BMC,111,844,0.46735868,1
BMC,111,845,0.45351058,1
BMC,111,846,0.4810675,1
BMC,111,847,0.48258114,1
BMC,111,848,0.49363694,1
BMC,111,849,0.49345958,1
BMC,111,850,0.5200373,1
BMC,111,851,0.504854,1
BMC,111,852,0.50602937,1
BMC,111,853,0.521279,1
BMC,111,854,0.5088658,1
BMC,111,855,0.526911,1
BMC,111,856,0.5351609,1
BMC,111,857,0.5422132,1
BMC,111,858,0.55617034,1
BMC,111,859,0.56174177,1
BMC,111,860,0.55500776,1
BMC,111,861,0.56738776,1
BMC,111,862,0.5911043,1
BMC,111,863,0.5967433,1
BMC,111,864,0.5854036,1
BMC,111,865,0.6009224,1
BMC,111,866,0.6133043,1
BMC,111,867,0.62727576,1
BMC,111,868,0.6217455,1
BMC,111,869,0.6414009,1
BMC,111,870,0.61885965,1
BMC,111,871,0.65670925,1
BMC,111,872,0.6103615,1
BMC,111,873,0.6060816,1
BMC,111,874,0.57674015,1
