dataset,video,event_id,onset,duration
BMC,412,17,765,4
BMC,412,18,770,2
BMC,412,19,776,30
BMC,412,20,808,6
BMC,412,21,817,2
BMC,412,22,820,5
BMC,412,23,826,2
BMC,412,24,829,16
BMC,412,25,846,1
BMC,412,26,848,2
BMC,412,27,853,2
BMC,412,28,856,14
BMC,412,29,871,4
BMC,412,30,876,1
BMC,412,31,878,1
BMC,412,32,880,3
BMC,412,33,884,1
BMC,412,34,889,1
BMC,412,35,891,1
BMC,412,36,894,3
BMC,412,37,898,1
BMC,412,38,901,2
BMC,412,39,904,3
BMC,412,40,908,104
BMC,412,41,1013,486
BMC,421,0,0,2
BMC,421,1,17,1
BMC,421,2,47,1
BMC,421,3,123,2
BMC,421,4,138,2
BMC,421,5,160,1
BMC,421,6,180,3
BMC,421,7,228,1
BMC,421,8,233,1
BMC,421,9,238,1
BMC,421,10,260,1
BMC,421,11,310,1
BMC,421,12,320,1
BMC,421,13,325,1
BMC,421,14,344,4
BMC,421,15,385,1
BMC,421,16,393,3
BMC,421,17,403,1
BMC,421,18,420,1
BMC,421,19,422,9
BMC,421,20,436,1
BMC,421,21,448,2
BMC,421,22,451,5
BMC,421,23,466,1
BMC,421,24,468,2
BMC,421,25,471,1
BMC,421,26,480,1
BMC,421,27,482,1
BMC,421,28,484,1
BMC,421,29,486,3
BMC,421,30,490,2
BMC,421,31,493,160
BMC,421,32,654,1
BMC,421,33,656,1
BMC,421,34,658,2
BMC,421,35,666,11
BMC,421,36,678,6
BMC,421,37,685,6
BMC,421,38,692,32
BMC,421,39,725,96
BMC,421,40,822,5
BMC,421,41,828,2
BMC,421,42,831,8
BMC,421,43,840,56
BMC,421,44,897,2
BMC,421,45,902,1
BMC,421,46,921,7
BMC,421,47,932,4
BMC,421,48,950,1
BMC,421,49,953,1
BMC,421,50,959,1
BMC,421,51,973,2
BMC,421,52,980,3
BMC,421,53,992,466
BMC,421,54,1459,40
BMC,422,0,0,11
BMC,422,1,12,668
BMC,422,2,681,6
BMC,422,3,693,7
BMC,422,4,701,6
BMC,422,5,708,2
BMC,422,6,712,1
BMC,422,7,714,1
BMC,422,8,716,1
BMC,422,9,718,1
BMC,422,10,720,1
BMC,422,11,723,11
BMC,422,12,736,3
BMC,422,13,740,2
BMC,422,14,743,2
BMC,422,15,747,1
BMC,422,16,749,1
BMC,422,17,752,2
BMC,422,18,755,1
BMC,422,19,759,10
BMC,422,20,770,64
BMC,422,21,835,51
BMC,422,22,887,5
BMC,422,23,893,3
BMC,422,24,897,5
BMC,422,25,903,2
BMC,422,26,906,12
BMC,422,27,919,4
BMC,422,28,924,1
BMC,422,29,926,1
BMC,422,30,929,1
BMC,422,31,931,1
BMC,422,32,936,563
BMC,511,0,0,1499
BMC,512,0,0,1499
BMC,521,0,0,269
BMC,521,1,270,47
BMC,521,2,318,10
BMC,521,3,329,1172
BMC,522,0,0,1499
CDnet2014,PETS2006,0,300,893
CDnet2014,PETS2006,1,1194,1
CDnet2014,PETS2006,2,1196,1
CDnet2014,abandonedBox,0,2450,126
CDnet2014,abandonedBox,1,2578,88
CDnet2014,abandonedBox,2,2667,162
CDnet2014,abandonedBox,3,2830,118
CDnet2014,abandonedBox,4,2949,2
CDnet2014,abandonedBox,5,2953,549
CDnet2014,abandonedBox,6,3503,6
CDnet2014,abandonedBox,7,3510,990
CDnet2014,backdoor,0,400,1600
CDnet2014,badminton,0,800,18
CDnet2014,badminton,1,819,18
CDnet2014,badminton,2,838,312
CDnet2014,blizzard,0,903,2
CDnet2014,blizzard,1,907,5
CDnet2014,blizzard,2,913,1
CDnet2014,blizzard,3,915,2
CDnet2014,blizzard,4,918,1
CDnet2014,blizzard,5,920,57
CDnet2014,blizzard,6,978,7
CDnet2014,blizzard,7,986,588
CDnet2014,blizzard,8,1576,5
CDnet2014,blizzard,9,1584,2
CDnet2014,blizzard,10,1592,1
CDnet2014,blizzard,11,1596,1
CDnet2014,blizzard,12,1598,2
CDnet2014,blizzard,13,1603,2
CDnet2014,blizzard,14,1608,3
CDnet2014,blizzard,15,1615,1
CDnet2014,blizzard,16,1620,7
CDnet2014,blizzard,17,1630,1
CDnet2014,blizzard,18,1634,5
CDnet2014,blizzard,19,1640,1
CDnet2014,blizzard,20,1642,3
CDnet2014,blizzard,21,1646,1
CDnet2014,blizzard,22,1675,1
CDnet2014,blizzard,23,1692,1
CDnet2014,blizzard,24,1699,1
CDnet2014,blizzard,25,1712,2
CDnet2014,blizzard,26,1717,1
CDnet2014,blizzard,27,1720,4
CDnet2014,blizzard,28,1725,6
CDnet2014,blizzard,29,1734,2
CDnet2014,blizzard,30,1737,103
CDnet2014,blizzard,31,1848,149
CDnet2014,blizzard,32,1998,4
CDnet2014,blizzard,33,2007,118
CDnet2014,blizzard,34,2128,1
CDnet2014,blizzard,35,2141,1
CDnet2014,blizzard,36,2143,1
CDnet2014,blizzard,37,2145,1
CDnet2014,blizzard,38,2147,1
CDnet2014,blizzard,39,2150,2
CDnet2014,blizzard,40,2153,1
CDnet2014,blizzard,41,2155,1
CDnet2014,blizzard,42,2157,3
CDnet2014,blizzard,43,2164,1
CDnet2014,blizzard,44,3050,174
CDnet2014,blizzard,45,3225,1
CDnet2014,blizzard,46,3227,1
CDnet2014,blizzard,47,3229,2
CDnet2014,blizzard,48,3234,2
CDnet2014,blizzard,49,3237,238
CDnet2014,blizzard,50,3478,2
CDnet2014,blizzard,51,3481,15
CDnet2014,blizzard,52,3523,1
CDnet2014,blizzard,53,3525,2
CDnet2014,blizzard,54,3528,15
CDnet2014,blizzard,55,3544,9
CDnet2014,blizzard,56,3554,7
CDnet2014,blizzard,57,3570,1
CDnet2014,blizzard,58,3572,1
CDnet2014,blizzard,59,4271,1
CDnet2014,blizzard,60,4273,17
CDnet2014,blizzard,61,4291,34
CDnet2014,blizzard,62,4328,1
CDnet2014,blizzard,63,4330,1
CDnet2014,blizzard,64,4579,2
CDnet2014,blizzard,65,4582,70
CDnet2014,blizzard,66,4796,1
CDnet2014,blizzard,67,4799,146
CDnet2014,blizzard,68,5160,109
CDnet2014,blizzard,69,5270,57
CDnet2014,blizzard,70,5452,19
CDnet2014,blizzard,71,5472,23
CDnet2014,blizzard,72,5496,1
CDnet2014,blizzard,73,5498,24
CDnet2014,blizzard,74,5523,4
CDnet2014,blizzard,75,5528,2
CDnet2014,blizzard,76,6121,1
CDnet2014,blizzard,77,6123,3
CDnet2014,blizzard,78,6127,66
CDnet2014,blizzard,79,6194,3
CDnet2014,blizzard,80,6268,53
CDnet2014,blizzard,81,6322,1
CDnet2014,blizzard,82,6380,72
CDnet2014,boats,0,1900,18
CDnet2014,boats,1,1919,6
CDnet2014,boats,2,1927,4
CDnet2014,boats,3,1933,1
CDnet2014,boats,4,1935,95
CDnet2014,boats,5,2033,137
CDnet2014,boats,6,2172,3
CDnet2014,boats,7,2176,6
CDnet2014,boats,8,2183,1
CDnet2014,boats,9,2187,32
CDnet2014,boats,10,2220,7
CDnet2014,boats,11,2228,74
CDnet2014,boats,12,2305,18
CDnet2014,boats,13,2324,1
CDnet2014,boats,14,2327,5
CDnet2014,boats,15,2333,1
CDnet2014,boats,16,2335,4
CDnet2014,boats,17,2340,60
CDnet2014,boats,18,2401,12
CDnet2014,boats,19,2414,11
CDnet2014,boats,20,2426,20
CDnet2014,boats,21,2447,157
CDnet2014,boats,22,2605,8
CDnet2014,boats,23,2617,2
CDnet2014,boats,24,2620,2
CDnet2014,boats,25,2623,67
CDnet2014,boats,26,2691,37
CDnet2014,boats,27,2732,17
CDnet2014,boats,28,2750,1
CDnet2014,boats,29,2752,88
CDnet2014,boats,30,2841,169
CDnet2014,boats,31,3013,28
CDnet2014,boats,32,3042,2
CDnet2014,boats,33,3045,9
CDnet2014,boats,34,3055,6
CDnet2014,boats,35,3062,5
CDnet2014,boats,36,3068,5
CDnet2014,boats,37,3074,10
CDnet2014,boats,38,3085,2
CDnet2014,boats,39,3088,7
CDnet2014,boats,40,3097,13
CDnet2014,boats,41,3112,70
CDnet2014,boats,42,3183,12
CDnet2014,boats,43,3197,1
CDnet2014,boats,44,3199,73
CDnet2014,boats,45,3273,20
CDnet2014,boats,46,3294,26
CDnet2014,boats,47,3321,6
CDnet2014,boats,48,3328,6
CDnet2014,boats,49,3336,104
CDnet2014,boats,50,3441,22
CDnet2014,boats,51,3464,3
CDnet2014,boats,52,3468,83
CDnet2014,boats,53,3552,2
CDnet2014,boats,54,3555,28
CDnet2014,boats,55,3584,34
CDnet2014,boats,56,3619,29
CDnet2014,boats,57,3649,2
CDnet2014,boats,58,3652,1
CDnet2014,boats,59,3654,3
CDnet2014,boats,60,3659,4
CDnet2014,boats,61,3664,24
CDnet2014,boats,62,3690,2
CDnet2014,boats,63,3693,3
CDnet2014,boats,64,3698,10
CDnet2014,boats,65,3710,5
CDnet2014,boats,66,3716,4
CDnet2014,boats,67,3722,36
CDnet2014,boats,68,3760,68
CDnet2014,boats,69,3830,2
CDnet2014,boats,70,3833,2
CDnet2014,boats,71,3841,1
CDnet2014,boats,72,3845,1
CDnet2014,boats,73,3847,1
CDnet2014,boats,74,3849,124
CDnet2014,boats,75,3986,46
CDnet2014,boats,76,4033,23
CDnet2014,boats,77,4064,3
CDnet2014,boats,78,4068,18
CDnet2014,boats,79,4087,4
CDnet2014,boats,80,4092,18
CDnet2014,boats,81,4111,2
CDnet2014,boats,82,4114,3
CDnet2014,boats,83,4118,28
CDnet2014,boats,84,4147,12
CDnet2014,boats,85,4167,1
CDnet2014,boats,86,4171,1
CDnet2014,boats,87,4173,1
CDnet2014,boats,88,4176,1
CDnet2014,boats,89,4178,1
CDnet2014,boats,90,4180,49
CDnet2014,boats,91,4231,1
CDnet2014,boats,92,4233,1
CDnet2014,boats,93,4245,75
CDnet2014,boats,94,4321,327
CDnet2014,boats,95,4650,49
CDnet2014,boats,96,4700,97
CDnet2014,boats,97,4799,1
CDnet2014,boats,98,4801,137
CDnet2014,boats,99,4939,2
CDnet2014,boats,100,4942,3
CDnet2014,boats,101,4946,1
CDnet2014,boats,102,4949,95
CDnet2014,boats,103,5046,2
CDnet2014,boats,104,5051,8
CDnet2014,boats,105,5067,2
CDnet2014,boats,106,5070,1
CDnet2014,boats,107,5072,1
CDnet2014,boats,108,5075,65
CDnet2014,boats,109,5141,7
CDnet2014,boats,110,5149,128
CDnet2014,boats,111,5278,15
CDnet2014,boats,112,5294,30
CDnet2014,boats,113,5325,170
CDnet2014,boats,114,5496,121
CDnet2014,boats,115,5618,7
CDnet2014,boats,116,5630,1
CDnet2014,boats,117,5634,71
CDnet2014,boats,118,5706,129
CDnet2014,boats,119,5836,33
CDnet2014,boats,120,5872,3
CDnet2014,boats,121,5881,2
CDnet2014,boats,122,5894,1
CDnet2014,boats,123,5896,6
CDnet2014,boats,124,5903,41
CDnet2014,boats,125,5945,1
CDnet2014,boats,126,5947,1
CDnet2014,boats,127,5949,193
CDnet2014,boats,128,6143,78
CDnet2014,boats,129,6223,2
CDnet2014,boats,130,6226,25
CDnet2014,boats,131,6254,227
CDnet2014,boats,132,6482,5
CDnet2014,boats,133,6488,9
CDnet2014,boats,134,6498,13
CDnet2014,boats,135,6514,3
CDnet2014,boats,136,6518,74
CDnet2014,boats,137,6593,2
CDnet2014,boats,138,6596,42
CDnet2014,boats,139,6639,79
CDnet2014,boats,140,6719,15
CDnet2014,boats,141,6738,1
CDnet2014,boats,142,6740,38
CDnet2014,boats,143,6784,84
CDnet2014,boats,144,6869,1130
CDnet2014,boulevard,0,790,7
CDnet2014,boulevard,1,798,5
CDnet2014,boulevard,2,804,179
CDnet2014,boulevard,3,984,1
CDnet2014,boulevard,4,987,1
CDnet2014,boulevard,5,990,2
CDnet2014,boulevard,6,993,1
CDnet2014,boulevard,7,995,1
CDnet2014,boulevard,8,998,2
CDnet2014,boulevard,9,1001,1
CDnet2014,boulevard,10,1004,2
CDnet2014,boulevard,11,1007,7
CDnet2014,boulevard,12,1016,3
CDnet2014,boulevard,13,1021,1
CDnet2014,boulevard,14,1030,2
CDnet2014,boulevard,15,1033,10
CDnet2014,boulevard,16,1044,84
CDnet2014,boulevard,17,1129,13
CDnet2014,boulevard,18,1143,5
CDnet2014,boulevard,19,1149,7
CDnet2014,boulevard,20,1157,4
CDnet2014,boulevard,21,1163,1
CDnet2014,boulevard,22,1166,2
CDnet2014,boulevard,23,1174,1
CDnet2014,boulevard,24,1178,7
CDnet2014,boulevard,25,1186,3
CDnet2014,boulevard,26,1190,1
CDnet2014,boulevard,27,1192,1
CDnet2014,boulevard,28,1195,1
CDnet2014,boulevard,29,1197,2
CDnet2014,boulevard,30,1202,2
CDnet2014,boulevard,31,1205,3
CDnet2014,boulevard,32,1209,1
CDnet2014,boulevard,33,1211,1
CDnet2014,boulevard,34,1215,1
CDnet2014,boulevard,35,1221,1
CDnet2014,boulevard,36,1224,4
CDnet2014,boulevard,37,1229,2
CDnet2014,boulevard,38,1232,16
CDnet2014,boulevard,39,1249,41
CDnet2014,boulevard,40,1292,21
CDnet2014,boulevard,41,1314,20
CDnet2014,boulevard,42,1335,8
CDnet2014,boulevard,43,1344,1
CDnet2014,boulevard,44,1346,2
CDnet2014,boulevard,45,1349,7
CDnet2014,boulevard,46,1358,1
CDnet2014,boulevard,47,1361,14
CDnet2014,boulevard,48,1376,4
CDnet2014,boulevard,49,1385,1
CDnet2014,boulevard,50,1387,2
CDnet2014,boulevard,51,1390,7
CDnet2014,boulevard,52,1399,1
CDnet2014,boulevard,53,1401,9
CDnet2014,boulevard,54,1411,1
CDnet2014,boulevard,55,1416,1
CDnet2014,boulevard,56,1429,4
CDnet2014,boulevard,57,1434,2
CDnet2014,boulevard,58,1437,1
CDnet2014,boulevard,59,1439,2
CDnet2014,boulevard,60,1442,16
CDnet2014,boulevard,61,1459,2
CDnet2014,boulevard,62,1462,2
CDnet2014,boulevard,63,1467,62
CDnet2014,boulevard,64,1530,1
CDnet2014,boulevard,65,1532,2
CDnet2014,boulevard,66,1535,11
CDnet2014,boulevard,67,1547,1
CDnet2014,boulevard,68,1550,1
CDnet2014,boulevard,69,1553,1
CDnet2014,boulevard,70,1555,2
CDnet2014,boulevard,71,1558,2
CDnet2014,boulevard,72,1561,1
CDnet2014,boulevard,73,1564,1
CDnet2014,boulevard,74,1566,2
CDnet2014,boulevard,75,1569,1
CDnet2014,boulevard,76,1571,1
CDnet2014,boulevard,77,1578,3
CDnet2014,boulevard,78,1582,1
CDnet2014,boulevard,79,1585,1
CDnet2014,boulevard,80,1588,7
CDnet2014,boulevard,81,1596,1
CDnet2014,boulevard,82,1598,2
CDnet2014,boulevard,83,1601,5
CDnet2014,boulevard,84,1607,2
CDnet2014,boulevard,85,1610,8
CDnet2014,boulevard,86,1619,3
CDnet2014,boulevard,87,1629,1
CDnet2014,boulevard,88,1631,1
CDnet2014,boulevard,89,1634,1
CDnet2014,boulevard,90,1637,1
CDnet2014,boulevard,91,1639,3
CDnet2014,boulevard,92,1643,1
CDnet2014,boulevard,93,1645,8
CDnet2014,boulevard,94,1654,9
CDnet2014,boulevard,95,1665,7
CDnet2014,boulevard,96,1673,1
CDnet2014,boulevard,97,1675,1
CDnet2014,boulevard,98,1677,3
CDnet2014,boulevard,99,1681,2
CDnet2014,boulevard,100,1684,1
CDnet2014,boulevard,101,1686,5
CDnet2014,boulevard,102,1692,1
CDnet2014,boulevard,103,1694,1
CDnet2014,boulevard,104,1696,1
CDnet2014,boulevard,105,1698,9
CDnet2014,boulevard,106,1708,2
CDnet2014,boulevard,107,1711,2
CDnet2014,boulevard,108,1714,2
CDnet2014,boulevard,109,1717,10
CDnet2014,boulevard,110,1728,2
CDnet2014,boulevard,111,1731,4
CDnet2014,boulevard,112,1736,10
CDnet2014,boulevard,113,1747,1
CDnet2014,boulevard,114,1750,10
CDnet2014,boulevard,115,1761,2
CDnet2014,boulevard,116,1764,1
CDnet2014,boulevard,117,1767,1
CDnet2014,boulevard,118,1769,2
CDnet2014,boulevard,119,1772,1
CDnet2014,boulevard,120,1774,2
CDnet2014,boulevard,121,1778,1
CDnet2014,boulevard,122,1781,1
CDnet2014,boulevard,123,1783,1
CDnet2014,boulevard,124,1785,1
CDnet2014,boulevard,125,1788,23
CDnet2014,boulevard,126,1813,1
CDnet2014,boulevard,127,1818,2
CDnet2014,boulevard,128,1822,1
CDnet2014,boulevard,129,1824,2
CDnet2014,boulevard,130,1827,1
CDnet2014,boulevard,131,1835,1
CDnet2014,boulevard,132,1837,2
CDnet2014,boulevard,133,1840,1
CDnet2014,boulevard,134,1843,21
CDnet2014,boulevard,135,1865,1
CDnet2014,boulevard,136,1871,1
CDnet2014,boulevard,137,1877,1
CDnet2014,boulevard,138,1879,1
CDnet2014,boulevard,139,1884,1
CDnet2014,boulevard,140,1886,2
CDnet2014,boulevard,141,1889,2
CDnet2014,boulevard,142,1892,1
CDnet2014,boulevard,143,1895,1
CDnet2014,boulevard,144,1898,1
CDnet2014,boulevard,145,1900,2
CDnet2014,boulevard,146,1903,2
CDnet2014,boulevard,147,1906,4
CDnet2014,boulevard,148,1911,2
CDnet2014,boulevard,149,1914,4
CDnet2014,boulevard,150,1920,1
CDnet2014,boulevard,151,1923,1
CDnet2014,boulevard,152,1925,2
CDnet2014,boulevard,153,1930,1
CDnet2014,boulevard,154,1933,1
CDnet2014,boulevard,155,1936,1
CDnet2014,boulevard,156,1939,47
CDnet2014,boulevard,157,1988,1
CDnet2014,boulevard,158,1990,8
CDnet2014,boulevard,159,1999,9
CDnet2014,boulevard,160,2009,2
CDnet2014,boulevard,161,2013,1
CDnet2014,boulevard,162,2015,2
CDnet2014,boulevard,163,2018,2
CDnet2014,boulevard,164,2027,2
CDnet2014,boulevard,165,2030,1
CDnet2014,boulevard,166,2032,6
CDnet2014,boulevard,167,2039,5
CDnet2014,boulevard,168,2045,7
CDnet2014,boulevard,169,2053,1
CDnet2014,boulevard,170,2055,3
CDnet2014,boulevard,171,2059,4
CDnet2014,boulevard,172,2064,4
CDnet2014,boulevard,173,2070,1
CDnet2014,boulevard,174,2072,5
CDnet2014,boulevard,175,2080,1
CDnet2014,boulevard,176,2082,2
CDnet2014,boulevard,177,2085,4
CDnet2014,boulevard,178,2090,90
CDnet2014,boulevard,179,2181,4
CDnet2014,boulevard,180,2186,1
CDnet2014,boulevard,181,2188,2
CDnet2014,boulevard,182,2191,2
CDnet2014,boulevard,183,2194,2
CDnet2014,boulevard,184,2197,1
CDnet2014,boulevard,185,2200,2
CDnet2014,boulevard,186,2203,1
CDnet2014,boulevard,187,2206,54
CDnet2014,boulevard,188,2261,4
CDnet2014,boulevard,189,2266,76
CDnet2014,boulevard,190,2345,1
CDnet2014,boulevard,191,2348,1
CDnet2014,boulevard,192,2354,6
CDnet2014,boulevard,193,2362,1
CDnet2014,boulevard,194,2364,2
CDnet2014,boulevard,195,2368,1
CDnet2014,boulevard,196,2371,2
CDnet2014,boulevard,197,2374,1
CDnet2014,boulevard,198,2377,1
CDnet2014,boulevard,199,2380,1
CDnet2014,boulevard,200,2382,2
CDnet2014,boulevard,201,2385,78
CDnet2014,boulevard,202,2466,34
CDnet2014,bridgeEntry,0,1036,1
CDnet2014,bridgeEntry,1,1046,1
CDnet2014,bridgeEntry,2,1061,2
CDnet2014,bridgeEntry,3,1065,5
CDnet2014,bridgeEntry,4,1072,1
CDnet2014,bridgeEntry,5,1080,1
CDnet2014,bridgeEntry,6,1085,6
CDnet2014,bridgeEntry,7,1092,1
CDnet2014,bridgeEntry,8,1097,9
CDnet2014,bridgeEntry,9,1115,15
CDnet2014,bridgeEntry,10,1156,1
CDnet2014,bridgeEntry,11,1175,2
CDnet2014,bridgeEntry,12,1187,1
CDnet2014,bridgeEntry,13,1215,1
CDnet2014,bridgeEntry,14,1234,2
CDnet2014,bridgeEntry,15,1241,3
CDnet2014,bridgeEntry,16,1245,2
CDnet2014,bridgeEntry,17,1248,1
CDnet2014,bridgeEntry,18,1264,1
CDnet2014,bridgeEntry,19,1267,1
CDnet2014,bridgeEntry,20,1279,1
CDnet2014,bridgeEntry,21,1288,1
CDnet2014,bridgeEntry,22,1298,3
CDnet2014,bridgeEntry,23,1303,2
CDnet2014,bridgeEntry,24,1307,2
CDnet2014,bridgeEntry,25,1310,4
CDnet2014,bridgeEntry,26,1318,1
CDnet2014,bridgeEntry,27,1353,1
CDnet2014,bridgeEntry,28,1413,6
CDnet2014,bridgeEntry,29,1443,2
CDnet2014,bridgeEntry,30,1449,9
CDnet2014,bridgeEntry,31,1464,1
CDnet2014,bridgeEntry,32,1466,1
CDnet2014,bridgeEntry,33,1468,3
CDnet2014,bridgeEntry,34,1472,11
CDnet2014,bridgeEntry,35,1484,4
CDnet2014,bridgeEntry,36,1489,5
CDnet2014,bridgeEntry,37,1501,2
CDnet2014,bridgeEntry,38,1505,21
CDnet2014,bridgeEntry,39,1530,2
CDnet2014,bridgeEntry,40,1535,1
CDnet2014,bridgeEntry,41,1539,1
CDnet2014,bridgeEntry,42,1548,1
CDnet2014,bridgeEntry,43,1550,7
CDnet2014,bridgeEntry,44,1558,1
CDnet2014,bridgeEntry,45,1562,1
CDnet2014,bridgeEntry,46,1565,1
CDnet2014,bridgeEntry,47,1567,2
CDnet2014,bridgeEntry,48,1572,3
CDnet2014,bridgeEntry,49,1577,1
CDnet2014,bridgeEntry,50,1583,1
CDnet2014,bridgeEntry,51,1587,8
CDnet2014,bridgeEntry,52,1598,3
CDnet2014,bridgeEntry,53,1602,24
CDnet2014,bridgeEntry,54,1628,7
CDnet2014,bridgeEntry,55,1636,4
CDnet2014,bridgeEntry,56,1641,2
CDnet2014,bridgeEntry,57,1648,1
CDnet2014,bridgeEntry,58,1652,21
CDnet2014,bridgeEntry,59,1675,13
CDnet2014,bridgeEntry,60,1689,4
CDnet2014,bridgeEntry,61,1696,1
CDnet2014,bridgeEntry,62,1698,2
CDnet2014,bridgeEntry,63,1701,1
CDnet2014,bridgeEntry,64,1715,1
CDnet2014,bridgeEntry,65,1717,1
CDnet2014,bridgeEntry,66,1719,1
CDnet2014,bridgeEntry,67,1728,5
CDnet2014,bridgeEntry,68,1735,7
CDnet2014,bridgeEntry,69,1746,13
CDnet2014,bridgeEntry,70,1760,6
CDnet2014,bridgeEntry,71,1769,2
CDnet2014,bridgeEntry,72,1775,2
CDnet2014,bridgeEntry,73,1778,2
CDnet2014,bridgeEntry,74,1785,2
CDnet2014,bridgeEntry,75,1790,2
CDnet2014,bridgeEntry,76,1809,3
CDnet2014,bridgeEntry,77,1813,1
CDnet2014,bridgeEntry,78,1815,3
CDnet2014,bridgeEntry,79,1819,1
CDnet2014,bridgeEntry,80,1821,1
CDnet2014,bridgeEntry,81,1828,2
CDnet2014,bridgeEntry,82,1831,2
CDnet2014,bridgeEntry,83,1838,10
CDnet2014,bridgeEntry,84,1862,1
CDnet2014,bridgeEntry,85,1865,1
CDnet2014,bridgeEntry,86,1875,2
CDnet2014,bridgeEntry,87,1878,1
CDnet2014,bridgeEntry,88,1888,1
CDnet2014,bridgeEntry,89,1892,2
CDnet2014,bridgeEntry,90,1900,4
CDnet2014,bridgeEntry,91,1914,1
CDnet2014,bridgeEntry,92,1916,1
CDnet2014,bridgeEntry,93,1918,4
CDnet2014,bridgeEntry,94,1923,2
CDnet2014,bridgeEntry,95,1928,4
CDnet2014,bridgeEntry,96,1934,3
CDnet2014,bridgeEntry,97,1940,3
CDnet2014,bridgeEntry,98,1949,2
CDnet2014,bridgeEntry,99,1961,1
CDnet2014,bridgeEntry,100,1982,1
CDnet2014,bridgeEntry,101,1984,1
CDnet2014,bridgeEntry,102,1986,2
CDnet2014,bridgeEntry,103,1992,1
CDnet2014,bridgeEntry,104,1994,3
CDnet2014,bridgeEntry,105,2000,2
CDnet2014,bridgeEntry,106,2012,26
CDnet2014,bridgeEntry,107,2041,7
CDnet2014,bridgeEntry,108,2049,4
CDnet2014,bridgeEntry,109,2065,2
CDnet2014,bridgeEntry,110,2071,1
CDnet2014,bridgeEntry,111,2076,1
CDnet2014,bridgeEntry,112,2102,1
CDnet2014,bridgeEntry,113,2109,2
CDnet2014,bridgeEntry,114,2112,3
CDnet2014,bridgeEntry,115,2118,4
CDnet2014,bridgeEntry,116,2123,1
CDnet2014,bridgeEntry,117,2125,1
